"code";"SV";"DE";"pos"
"3224";"VARVRÄKNARE";"Drehzahlanzeige";""
"3225";"INSTRUMENT OLJETEMP / OLJETRYCK";"Oeltemperaturanzeige";""
"3226";"INSTRUMENT VOLTM.";"Voltanzeige";""
"3227";"INSTRUMENT AMPERE";"Ampereanzeige";""
"3228";"INSTRUMENT KLOCKA";"Uhr";""
"3229";"INSTRUMENTKONSOLL GOLV";"Instrumentenkonsole Boden";""
"3230";"KONTROLLDISPLAY";"Varningslampa/Display";""
"3231";"INSTRUMENT VÄXLINGSINDIKATOR";"Växlingsindikator";""
"3232";"SUMMER";"Summer";""
"3235";"GPS NAVIGATOR";"GPS Navigator";""
"3236";"STYRENHET AUTOPILOT";"Autopilot Styrenhet";""
"3240";"RATTKÅPA/KÅPOR";"Lenkraddeckel";""
"3245";"VÄRMEREGLAGE";"Värmereglage";""
"3251";"INSTRUMENTBRÄDA";"Instrumentenbrett";""
"3299";"INSTRUMENT ÖVRIGT";"Übrige Instrumente";""
"3399";"STYRENHET TAKLUCKA";"Taklucka Styrenhet";""
"3401";"STRÖMSTÄLLARE TAKLUCKA";"Sonnendach Stromschalter";""
"3402";"STRÖMSTÄLLARE DIMLJUS FRAM/BAK";"Nebellicht Stromschalter";""
"3403";"STRÖMSTÄLLARE EXTRALJUS";"Extra Fernlicht Stromschalter";""
"3404";"STRÖMSTÄLLARE STOLVÄRME";"Stuhlheizung Stromschalter";""
"3405";"STRÖMSTÄLLARE AIRBAG PASSAGERARE";"Strömställare Airbag passagerare";""
"3406";"STRÖMSTÄLLARE PARKERINGSHJÄLP";"Parkeringshjälp Strömställare";""
"3407";"STRÖMSTÄLLARE ARBETSBELYSNING";"Arbetsbelysning Strömställare";""
"3408";"STRÖMSTÄLLARE DRAGKROK";"Dragkrok Strömställare";""
"3409";"STRÖMSTÄLLARE DÄCKTRYCKSKONTROLL";"Däcktryckskontroll Strömställare";""
"3410";"STRÖMSTÄLLARE DÖRRÖPPNARE";"Dörröppnare Strömställare";""
"3411";"STRÖMSTÄLLARE FYRHJULSDRIFT";"Fyrhjulsdrift Strömställare";""
"3412";"STRÖMSTÄLLARE FÖRHÖJD TOMGÅNG";"Förhöjd Tomgång Strömställare";""
"3420";"STARTSPÄRRSKONTAKT";"Startsperre";""
"3421";"STARTKNAPP PERSONBIL";"Startknapp Personbil";""
"4501";"AC EXPANSIONSVENTIL";"AC Expansionsventil";""
"4503";"NIVÅ/LUFTFJÄDRING SENSOR";"Nivå/Luftfjädring Sensor";""
"4504";"NIVÅ/LUFTFJÄDRING BÄLG";"Nivå / Luftfjädring Bälg";""
"4505";"MOTORVÄRMARSLADD FAST";"Motorvärmarsladd fastmont.";""
"4506";"STÖTFÅNGARE UTFYLLNAD/LIST/GRILL";"Stoßstange Lückenbüßer/Leiste/Grill";""
"4507";"STÖTF.SIDOSTYCKE MELLANLÄGG";"Stoßstange Seitenstück Zwichenleger";""
"4508";"STÖTFÅNGARHORN BAK VÄ";"Stoßstange Hupe";"Links"
